"unit_traits_bullet_text_stalk"	"Μπορεί να παραμείνει κρυμμένη ενώ κινείται"	"True"
"unit_traits_bullet_text_snipe"	"Μπορεί να παραμείνει κρυμμένη καθώς βάλλει"	"True"
"unit_traits_bullet_text_scare_immune"	"Έχει ανοσία στον εκφοβισμό"	"True"
"unit_traits_bullet_text_scare_horse"	"Τρομάζει τα άλογα"	"True"
"unit_traits_bullet_text_scare_elephant"	"Τρομάζει τους ελέφαντες"	"True"
"unit_traits_bullet_text_scare_all"	"Τρομάζει τους πάντες"	"True"
"unit_traits_bullet_text_resist_heat"	"Δεν υπόκειται σε επιπλέον απώλειες από τα ζεστά κλίματα"	"True"
"unit_traits_bullet_text_resist_cold"	"Δεν υπόκειται σε επιπλέον απώλειες από τα κρύα κλίματα"	"True"
"unit_traits_bullet_text_mounted_fire_parthian"	"Βάλλει από όλες τις πλευρές"	"True"
"unit_traits_bullet_text_mounted_fire_move"	"Πυρ εν κίνηση"	"True"
"unit_traits_bullet_text_mounted_fire"	"Μπορεί να βάλλει πάνω στο άλογο"	"True"
"unit_traits_bullet_text_impetuous"	"Ενίσχυση ηθικού όταν είναι σε ανυπομονησία"	"True"
"unit_traits_bullet_text_immune_cav_penalty"	"Τα δόρατα δεν έχουν πλεονέκτημα ενάντια σε αυτή τη μονάδα ιππικού"	"True"
"unit_traits_bullet_text_ignore_ground_move_mod"	"Δεν επιβραδύνεται σε ανώμαλα εδάφη"	"True"
"unit_traits_bullet_text_hide_wood"	"Μπορεί να κρυφτεί στο δάσος"	"True"
"unit_traits_bullet_text_hide_scrub"	"Μπορεί να κρυφτεί σε χαμηλή βλάστηση"	"True"
"unit_traits_bullet_text_hide_grass"	"Μπορεί να κρυφτεί στην βλάστηση"	"True"
"unit_traits_bullet_text_hide_building"	"Μπορεί να κρυφτεί στα κτίρια"	"True"
"unit_traits_bullet_text_guerrilla_deploy"	"Μπορεί να τοποθετηθεί έξω από την αρχική ζώνη τοποθέτησης"	"True"
"unit_traits_bullet_text_formed_attack"	"Αυτή η μονάδα προσπαθεί να κρατάει τον σχηματισμό της όταν μάχεται εκ του συστάδην"	"True"
"unit_traits_bullet_text_fatigue_res"	"Η κούραση δεν επηρεάζει ιδιαίτερα αυτήν την μονάδα!"	"True"
"unit_traits_bullet_text_encourages"	"Ενισχύει το ηθικό των συμμάχων σε κοντινή εμβέλεια"	"True"
"unit_traits_bullet_text_disciplined"	"Δεν χάνει το ηθικό της αν πεθάνει ο στρατηγός!"	"True"
"unit_traits_bullet_text_climb_fast"	"Μπορεί να σκαρφαλώσει γρήγορα"	"True"
"unit_traits_bullet_text_cant_run"	"γενικά για σφυρηλατημένο πυροβολικό"	"True"
"unit_traits_bullet_text_campaign_stealth"	"Μπορεί να κινείται στο χάρτη εκστρατείας χωρίς να φαίνεται"	"True"
"unit_traits_bullet_text_all_ranks_fire"	"όλες οι βαθμίδες μπορούν να πυροδοτηθούν αν χρησιμοποιηθεί ένα όπλο που επιτρέπει μόνο 1 βαθμίδα"	"True"
