"unit_castes_localised_name_medium_aux"	"Μεσαίο Βοηθητικό"	"True"
"unit_castes_localised_name_light_merc"	"Ελαφριοί Μοσθοφόροι"	"True"
"unit_castes_localised_name_heavy_aux"	"Βαριοί Βοηθητικοί"	"True"
"unit_castes_localised_name_generic"	"Generic(Γενικό\?)"	"True"
"unit_castes_localised_name_heavy_merc"	"Βαριοί Μισθοφόροι"	"True"
"unit_castes_localised_name_light_aux"	"Ελαφρύ Βοηθητικό"	"True"
"unit_castes_localised_name_light"	"Ελαφρύ"	"True"
"unit_castes_localised_name_medium"	"Μεσαίο"	"True"
"unit_castes_localised_name_medium_merc"	"Μεσαίοι Μισθοφόροι"	"True"
"unit_castes_localised_name_heavy"	"Βαρύ"	"True"
